"","sample","tissue","other","sampleGood","sizeFactor"
"sample177","counts.intestine%2c%20neonate%20N25.CNhs11121.1352-25E3","intestine","neonate N25.CNhs11121.1352-25E3","sample177",1.12052090837982
"sample178","counts.intestine%2c%20neonate%20N30.CNhs11131.1384-42G1","intestine","neonate N30.CNhs11131.1384-42G1","sample178",1.24182358140658
"sample179","counts.kidney%2c%20embryo%20E14.CNhs10606.411-4I9","kidney","embryo E14.CNhs10606.411-4I9","sample179",1.15035319420736
"sample180","counts.kidney%2c%20embryo%20E15.CNhs10997.434-16F8","kidney","embryo E15.CNhs10997.434-16F8","sample180",2.0376903740246
"sample181","counts.kidney%2c%20embryo%20E16.CNhs10584.464-22A5","kidney","embryo E16.CNhs10584.464-22A5","sample181",0.210656578624392
"sample182","counts.kidney%2c%20embryo%20E17.CNhs11028.483-18I2","kidney","embryo E17.CNhs11028.483-18I2","sample182",1.15602134881879
"sample183","counts.kidney%2c%20embryo%20E18.CNhs11001.1288-20C7","kidney","embryo E18.CNhs11001.1288-20C7","sample183",1.22858561714585
"sample184","counts.kidney%2c%20neonate%20N00.CNhs11214.646-21G7","kidney","neonate N00.CNhs11214.646-21G7","sample184",3.52694236177312
"sample185","counts.kidney%2c%20neonate%20N10.CNhs11206.758-6D5","kidney","neonate N10.CNhs11206.758-6D5","sample185",3.97452317345766
"sample186","counts.kidney%2c%20neonate%20N20.CNhs11113.832-19I1","kidney","neonate N20.CNhs11113.832-19I1","sample186",1.67935217606321
"sample187","counts.kidney%2c%20neonate%20N25.CNhs11122.1353-25F3","kidney","neonate N25.CNhs11122.1353-25F3","sample187",1.57169741453968
"sample188","counts.kidney%2c%20neonate%20N30.CNhs11203.1385-42H1","kidney","neonate N30.CNhs11203.1385-42H1","sample188",1.9923771623655
"sample189","counts.liver%2c%20adult%20pregnant%20day01.CNhs10466.508-5B2","liver","adult pregnant day01.CNhs10466.508-5B2","sample189",0.80797745033635
"sample190","counts.liver%2c%20embryo%20E12.CNhs10601.355-15F8","liver","embryo E12.CNhs10601.355-15F8","sample190",1.28715855679137
"sample191","counts.liver%2c%20embryo%20E13.CNhs10524.378-3H6","liver","embryo E13.CNhs10524.378-3H6","sample191",1.10851435815688
"sample192","counts.liver%2c%20embryo%20E14.CNhs10594.409-16E1","liver","embryo E14.CNhs10594.409-16E1","sample192",0.953915784791861
"sample193","counts.liver%2c%20embryo%20E15.CNhs10520.433-16D7","liver","embryo E15.CNhs10520.433-16D7","sample193",1.08628831949263
"sample194","counts.liver%2c%20embryo%20E16.CNhs10523.462-17F5","liver","embryo E16.CNhs10523.462-17F5","sample194",0.926451673927218
"sample195","counts.liver%2c%20embryo%20E17.CNhs10510.481-18A3","liver","embryo E17.CNhs10510.481-18A3","sample195",0.865186482317952
"sample196","counts.liver%2c%20embryo%20E18.CNhs10579.499-43G4","liver","embryo E18.CNhs10579.499-43G4","sample196",0.794208501466724
"sample197","counts.liver%2c%20neonate%20N00.CNhs11117.641-24F4","liver","neonate N00.CNhs11117.641-24F4","sample197",1.4313029042976
"sample198","counts.liver%2c%20neonate%20N03.CNhs11123.1345-25G2","liver","neonate N03.CNhs11123.1345-25G2","sample198",0.817527050195415
